Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
  15.00     666.63    1.458e-04    4.976e-06     56.41     0.11
  15.09     662.89    1.394e-04    5.683e-06     56.00     0.13
  15.17     659.19    1.483e-04    5.798e-06     55.95     0.13
  15.25     655.53    1.567e-04    6.594e-06     55.88     0.14
  15.34     651.91    1.583e-04    1.087e-05     55.66     0.23
  15.42     648.33    1.772e-04    5.418e-06     55.78     0.10
  15.51     644.79    1.967e-04    6.965e-06     55.88     0.12
  15.59     641.29    2.192e-04    8.474e-06     56.00     0.13
  15.68     637.83    2.512e-04    9.172e-06     56.21     0.13
  15.76     634.40    2.932e-04    9.651e-06     56.50     0.12
  15.85     631.01    3.325e-04    7.939e-06     56.70     0.08
  15.93     627.66    3.443e-04    9.081e-06     56.58     0.09
  16.02     624.34    3.332e-04    6.712e-06     56.22     0.07
  16.10     621.06    3.320e-04    7.235e-06     55.97     0.08
  16.19     617.81    3.478e-04    1.108e-05     55.89     0.11
  16.27     614.59    3.598e-04    3.592e-06     55.77     0.04
  16.36     611.41    3.753e-04    7.524e-06     55.69     0.07
  16.44     608.26    4.015e-04    1.127e-05     55.69     0.10
  16.52     605.14    4.267e-04    1.186e-05     55.68     0.10
  16.61     602.06    4.536e-04    1.167e-05     55.67     0.09
  16.69     599.01    4.772e-04    9.156e-06     55.62     0.07
  16.78     595.98    5.037e-04    1.022e-05     55.59     0.07
  16.86     592.99    5.394e-04    1.561e-05     55.61     0.10
  16.95     590.03    6.723e-04    6.320e-05     56.19     0.35
  17.03     587.09    9.540e-04    2.208e-05     57.30     0.09
  17.12     584.19    8.024e-04    3.232e-05     56.41     0.15
  17.20     581.31    6.425e-04    1.186e-05     55.36     0.07
  17.29     578.47    6.521e-04    1.283e-05     55.20     0.07
  17.37     575.65    6.744e-04    1.190e-05     55.11     0.06
  17.46     572.85    6.984e-04    1.193e-05     55.02     0.06
  17.54     570.09    7.286e-04    1.364e-05     54.96     0.07
  17.63     567.35    7.606e-04    1.348e-05     54.91     0.07
  17.71     564.64    7.926e-04    1.549e-05     54.85     0.07
  17.80     561.95    8.072e-04    2.934e-05     54.71     0.13
  17.88     559.29    8.283e-04    3.974e-05     54.60     0.18
  17.96     556.65    8.916e-04    1.273e-05     54.67     0.05
  18.05     554.04    9.271e-04    1.622e-05     54.61     0.07
  18.13     551.46    9.695e-04    1.870e-05     54.58     0.07
  18.22     548.89    1.017e-03    1.878e-05     54.55     0.07
  18.30     546.35    1.064e-03    1.866e-05     54.52     0.07
  18.39     543.84    1.120e-03    1.308e-05     54.52     0.04
  18.47     541.34    1.174e-03    1.660e-05     54.50     0.05
  18.56     538.87    1.230e-03    2.023e-05     54.48     0.06
  18.64     536.43    1.288e-03    2.506e-05     54.46     0.07
  18.73     534.00    1.338e-03    2.755e-05     54.42     0.08
  18.81     531.60    1.406e-03    2.625e-05     54.41     0.07
